Ticker,EV/EBIT,M.EBIT,Vol.(Mi)
SMLS3,11.28,34.48,15.93
FESA4,11.34,20.5,21.37
PARD3,11.47,15.19,7.12
LEVE3,11.5,11.29,19.59
TIMS3,12.18,16.63,53.06
BRFS3,12.32,7.1,361.98
KEPL3,12.37,12.34,10.65
ATOM3,12.47,35.35,0.96
EMAE4,12.62,36.45,0.44
CCPR3,12.65,48.94,5.61
VIVT3,12.67,14.76,86.8
CGAS5,13.03,22.78,0.31
QUAL3,13.3,32.26,87.73
JPSA3,13.63,48.64,8.87
SUZB3,13.96,33.06,445.26
TGMA3,14.02,11.29,9.21
CCRO3,14.04,26.87,189.42
BMOB3,14.29,38.18,28.22
CARD3,14.39,16.35,10.06
LOGN3,14.45,17.68,15.56
PRIO3,14.8,48.67,237.17
SCAR3,15.36,64.47,0.86
COCE5,15.4,6.4,1.47
SIMH3,15.59,14.96,26.47
MTRE3,15.87,8.85,15.83
ECOR3,15.87,21.84,56.8
ABEV3,15.89,27.05,396.19
PTBL3,16.08,10.8,53.94
B3SA3,16.44,61.43,639.37
MRVE3,16.6,10.76,56.12
TUPY3,16.72,5.65,33.61
MOVI3,17.02,17.39,37.21
PGMN3,17.46,4.69,12.89
VVAR3,17.54,5.38,407.92
FLRY3,17.65,18.04,48.62
LCAM3,17.72,17.05,64.12
OFSA3,17.87,15.28,1.76
ROMI3,18.07,12.38,36.26
MULT3,18.35,92.51,127.29
UGPA3,18.44,2.23,131.97
BRPR3,18.88,108.2,14.02
GMAT3,19.14,6.8,33.89
DTEX3,19.28,12.88,53.35
POWE3,19.31,2.8,2.2
ALLD3,19.52,4.78,1.73
HYPE3,19.57,32.2,96.74
MDIA3,19.6,7.44,37.01
INTB3,20.58,17.62,51.78
JSLG3,20.58,17.87,4.18
GRND3,20.71,17.84,20.39
RAIL3,22.87,30.11,157.57
AMBP3,23.2,18.24,15.6
OMGE3,23.43,43.24,24.64
LJQQ3,23.55,10.09,38.42
EZTC3,23.56,28.91,78.91
CSED3,25.71,11.64,6.44
HBOR3,25.82,8.6,16.47
RENT3,26.23,20.13,369.85
IGTA3,26.51,52.11,90.66
ANIM3,27.35,12.99,24.85
CSAN3,27.45,18.7,149.45
CAMB3,27.51,7.73,0.4
ORVR3,29.27,15.18,5.96
LAME4,31.6,5.44,210.9
HBRE3,31.79,78.41,2.87
VAMO3,32.57,24.23,35.98
ASAI3,35.61,4.68,128.37
NGRD3,36.14,16.52,15.99
PDTC3,36.49,10.49,2.55
RDNI3,36.79,6.91,0.26
ALSO3,36.97,30.24,46.88
VIVA3,37.56,17.58,33.45
HBSA3,37.84,15.99,53.58
MOSI3,38.12,21.49,31.89
PNVL3,39.07,3.09,18.22
POMO4,39.45,2.58,11.19
OPCT3,39.76,6.23,6.56
TOTS3,44.01,15.98,141.08
WEGE3,44.26,16.94,282.39
VULC3,45.81,4.18,6.43
RADL3,47.82,4.78,152.09
BLAU3,47.92,35.08,13.89
GNDI3,49.1,10.12,259.86
YDUQ3,49.26,6.74,67.16
LREN3,50.21,11.37,441.62
HAPV3,50.67,13.71,163.73
ALPA4,54.31,13.11,107.62
ESPA3,54.68,16.41,27.02
NTCO3,55.02,3.67,263.99
MILS3,58.6,5.78,20.26
STBP3,59.42,11.7,49.63
HGTX3,60.44,7.87,68.37
CURY3,66.56,34.37,10.2
TECN3,67.3,1.32,10.23
BOAS3,70.48,11.91,11.79
RDOR3,71.56,13.54,264.18
PETZ3,77.24,7.51,100.23
AALR3,80.63,2.55,16.39
GFSA3,86.87,2.27,21.15
SEQL3,89.38,3.48,24.39
MGLU3,110.89,3.68,419.68
SQIA3,124.22,5.62,13.04
DASA3,177.18,2.55,13.55
ARZZ3,183.46,3.96,52.24
RCSL4,205.0,3.6,6.62
CASH3,208.39,16.35,138.77
BTOW3,244.57,1.12,195.54
TFCO4,269.1,17.33,1.58
LWSA3,315.97,7.58,201.66
