Ticker,EV/EBIT,M.EBIT,Vol.(Mi)
PARD3,10.24,17.0,7.21
LPSB3,10.27,25.5,4.53
MELK3,10.34,11.0,4.03
QUAL3,10.45,41.1,81.9
CRFB3,10.57,6.8,87.31
TRIS3,10.73,20.7,11.07
VVAR3,10.77,8.8,470.48
RANI3,11.06,18.7,21.95
SMLS3,11.56,33.6,20.32
ASAI3,11.6,7.6,124.68
BOBR4,12.28,6.5,0.39
CCPR3,12.43,49.8,5.67
FRAS3,12.44,12.7,2.97
BRFS3,12.46,7.0,265.38
ATOM3,12.63,34.9,4.72
MGEL4,13.4,9.9,0.28
UCAS3,13.42,12.0,0.94
TUPY3,13.48,7.0,36.6
KEPL3,13.9,11.0,11.05
CGAS5,13.95,22.3,0.3
CCRO3,14.01,26.9,164.42
BMOB3,14.11,34.1,23.65
VIVT3,14.18,13.2,93.75
BRDT3,14.26,2.9,198.81
ENAT3,14.5,25.2,28.28
MTRE3,14.62,9.6,11.22
POWE3,14.75,3.7,2.5
TGMA3,14.75,10.7,10.05
CARD3,14.88,15.8,10.19
SMTO3,15.18,25.5,33.4
MRVE3,15.18,11.8,66.73
SUZB3,15.5,29.7,457.31
JPSA3,15.52,42.7,8.72
CESP6,15.62,28.3,57.03
SCAR3,15.63,63.4,0.56
OFSA3,15.67,17.4,1.49
PTBL3,16.01,10.8,53.45
PGMN3,16.03,5.0,11.83
DTEX3,16.03,15.5,50.44
B3SA3,16.19,62.2,623.7
CYRE3,16.81,15.1,133.26
SIMH3,16.89,13.8,25.6
TOTS3,17.09,41.2,125.92
GRND3,17.35,21.3,19.68
FLRY3,17.36,18.3,50.91
SGPS3,17.43,5.0,1.6
LCAM3,17.73,17.0,62.24
PTNT3,18.06,7.4,0.78
ABEV3,18.19,23.6,337.07
GMAT3,18.86,6.9,35.81
EMAE4,19.28,34.6,0.48
ROMI3,19.51,11.5,47.59
UGPA3,19.7,2.1,110.0
COCE5,19.78,6.0,1.13
MOVI3,19.88,14.9,37.4
BLAU3,20.24,35.1,13.64
LOGN3,20.85,12.3,17.28
SHUL4,20.95,8.9,5.59
POSI3,21.02,4.4,129.75
LJQQ3,21.28,11.2,30.65
ANIM3,21.31,16.7,24.04
POMO4,22.75,4.5,13.36
HYPE3,23.09,27.3,100.13
AMBP3,24.11,17.6,11.6
PRIO3,24.73,29.1,355.06
RAIL3,25.37,27.1,164.69
LAME4,25.63,6.8,250.31
CSED3,26.36,11.4,5.43
JSLG3,26.53,13.9,4.12
HBRE3,26.99,92.4,2.48
RENT3,27.38,19.3,315.81
ELET3,27.71,11.7,259.6
EZTC3,27.98,24.3,75.98
INTB3,28.19,12.9,40.08
ALSO3,28.37,39.4,42.15
GFSA3,28.85,6.8,21.47
BRPR3,29.42,69.4,13.88
OMGE3,29.85,33.9,28.02
IGTA3,30.09,45.9,91.99
NTCO3,31.91,6.3,291.33
LOGG3,32.55,75.6,10.71
MDIA3,33.16,4.4,41.95
VAMO3,33.22,23.8,26.3
ORVR3,34.15,13.0,5.47
NGRD3,35.57,16.8,19.9
VIVA3,36.0,18.3,26.28
MULT3,37.21,45.6,124.7
BOAS3,37.34,17.6,13.7
CSAN3,37.52,13.7,176.68
VULC3,37.56,5.1,5.5
MOSI3,37.85,21.6,28.27
WEGE3,38.23,19.6,337.95
ALPA4,42.1,18.3,76.1
GNDI3,45.18,11.0,317.87
HBSA3,45.39,13.3,37.32
PDTC3,45.81,8.4,3.11
PNVL3,45.85,2.6,17.06
RADL3,47.25,4.8,137.65
CAMB3,49.45,4.3,0.61
YDUQ3,50.02,6.6,75.53
HAPV3,51.02,13.6,162.95
ESPA3,54.23,16.5,21.9
MILS3,54.29,6.2,17.89
RDOR3,64.9,14.9,190.14
PETZ3,65.7,8.8,85.7
LREN3,69.1,8.6,443.95
STBP3,75.42,9.2,52.16
SEQL3,92.84,3.3,25.81
AALR3,93.51,2.2,11.01
BTOW3,93.52,2.9,237.45
RCSL4,94.09,3.6,5.14
OPCT3,95.9,2.6,10.31
ARZZ3,101.41,5.1,54.72
HBOR3,108.73,2.0,17.69
SQIA3,124.22,5.6,11.71
MGLU3,148.99,2.7,498.97
HGTX3,185.85,2.5,128.52
CASH3,208.39,16.4,108.0
DASA3,240.94,1.9,21.8
TFCO4,267.4,17.4,1.47
LWSA3,314.07,7.6,220.19
RDNI3,40477.8,0.0,0.57
