Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
amar3,"1,01","0,90","3,72",-,"-70,81%",ON,"0,000",11,"18,85","18,85",267.785,487.369,78,278.507.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.010.006.000,569.416.000,673.963.000,31.384.000,642.579.000,518.590.603,1.161.169.603,Novo Mercado,"7,06%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,63.674,311,269,63.094,-,
ambp3,"258,19","8,05","258,19",-,"1.425,95%",ON,"0,000",63,"3,67","3,67",673.921,10.196.425,73,1.765.848.000,"0,1341","0,0000","100,00%","0,0000","100,00%",14.172.412.000,5.856.445.000,8.594.926.000,3.717.077.000,4.877.849.000,43.128.540.157,48.006.389.157,Novo Mercado,"22,51%",Utilidade Pública,Água e Saneamento,Água e Saneamento,40.743,412,207,40.124,-,
amer3,"8,10","3,14","95,00",-,"-91,47%",ON,"0,000",0,"29,38","29,38",22.096.134,12.152.874,2.665,-30.359.000.000,"0,0000","0,0000","0,00%","0,0000","0,00%",25.902.000.000,10.705.000.000,29.316.000.000,5.016.000.000,24.300.000.000,1.621.968.365,25.921.968.365,Novo Mercado,"50,00%",Consumo Cíclico,Comércio,Produtos Diversos,149.018,563,2.089,146.366,-,
andg3b,"28,82",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,1.483.493.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.753.215.000,45.022.000,209.401.000,9.246.000,200.155.000,-,-,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,10,0,1,9,-,
andg4b,"0,00",-,-,-,-%,PN,"0,000",0,"0,00","0,00",0,0,0,1.483.493.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.753.215.000,45.022.000,209.401.000,9.246.000,200.155.000,-,-,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,10,0,1,9,-,
anim3,"1,89","1,85","4,66","24,93","-50,52%",ON,"0,000",128,"0,12","0,12",789.997,3.720.886,46,2.278.193.000,"0,0000","0,4713","0,00%","0,0000","0,00%",9.954.648.000,2.388.248.000,5.408.633.000,1.475.168.000,3.933.465.000,763.312.041,4.696.777.041,Novo Mercado,"63,71%",Consumo Cíclico,Diversos,Serviços Educacionais,20.160,443,115,19.602,-,
aper3,"46,75","36,70","47,00",-,"8,22%",ON,"0,000",0,"4,03","4,03",667,29.715,8,472.202.000,"0,3237","0,0000","100,00%","0,0000","100,00%",939.386.000,247.459.000,188.864.000,124.362.000,64.502.000,953.269.947,1.017.771.947,,"2,00%",Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros,3.026,17,96,2.913,-,
apti3,"197,64",-,-,"22,22",-%,ON,"0,000",0,"0,00","0,00",0,0,0,263.057.000,"0,0000","43,9057","0,00%","0,0000","0,00%",500.122.000,213.519.000,56.815.000,71.229.000,-14.414.000,37.417.457,23.003.457,,"15,46%",Consumo não Cíclico,Agropecuária,Agricultura,5,0,1,4,-,
apti4,"2.930,92","2.930,92","2.930,92","1,65","0,00%",PN,"0,000",0,"0,00","0,00",0,0,0,263.057.000,"0,0000","48,2962","0,00%","0,0000","0,00%",500.122.000,213.519.000,56.815.000,71.229.000,-14.414.000,37.417.457,23.003.457,,"15,46%",Consumo não Cíclico,Agropecuária,Agricultura,5,0,1,4,-,
arml3,"5,93","5,93","16,77","5,36","-64,08%",ON,"0,000",14,"2,61","2,61",215.626,2.684.544,35,1.290.136.000,"0,0000","0,3179","0,00%","0,0000","0,00%",5.102.611.000,1.792.373.000,2.892.104.000,1.122.962.000,1.769.142.000,2.054.709.995,3.823.851.995,Novo Mercado,"49,52%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,2.279,192,29,2.058,-,
arzz3,"48,70","46,35","80,67","3,61","-38,35%",ON,"0,194",318,"0,89","0,89",684.232,43.428.205,375,3.069.791.000,"1,9325","1,1159","42,26%","0,0000","42,26%",6.002.810.000,2.843.934.000,1.212.509.000,562.698.000,649.811.000,6.376.405.425,7.026.216.425,Novo Mercado,"66,17%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,38.086,780,370,36.936,-,
asai3,"5,78","5,78","14,93",-,"-56,25%",ON,"0,382",193,"3,58","3,58",11.312.765,168.333.943,791,4.995.000.000,"0,0500","0,0000","100,00%","0,0000","100,00%",43.918.000.000,15.387.000.000,16.618.000.000,4.032.000.000,12.586.000.000,7.815.806.440,20.401.806.440,Novo Mercado,"99,53%",Consumo não Cíclico,Comércio e Distribuição,Alimentos,45.945,1.481,583,43.881,-,
atmp3,"1,18","1,08","4,55",-,"-71,29%",ON,"0,000",0,"5,25","5,25",400,864,1,394.768.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.296.471.000,324.604.000,243.875.000,68.959.000,174.916.000,31.518.220,206.434.220,,"38,07%",Bens Industriais,Serviços,Serviços Diversos,4.005,37,17,3.951,-,
atom3,"3,53","0,58","3,53",-,"443,08%",ON,"0,000",0,"15,46","15,46",45,86,1,39.497.000,"0,3204","0,0000","100,00%","0,0000","100,00%",51.611.000,18.457.000,0,7.341.000,-7.341.000,84.031.290,76.690.290,,"26,79%",Financeiro e Outros,Outros,Outros,6.069,0,35,6.034,-,
aura33,"24,93","9,51","26,21","4,34","132,34%",ON,"0,000",0,"11,80","11,80",1.084,39.111,3,1.255.341.000,"0,6393","1,0807","69,04%","0,0000","69,04%",5.202.946.000,1.830.175.000,1.855.400.000,1.067.713.000,787.687.000,5.414.685.685,6.202.372.685,,"13,51%",Materiais Básicos,Mineração,Minerais Metálicos,34.127,28,483,33.616,-,
aure3,"9,12","9,12","13,05","4,39","-29,19%",ON,"0,131",52,"0,07","0,07",1.291.193,15.274.813,95,12.587.285.000,"3,0000","0,4000","86,67%","0,0000","86,67%",31.492.257.000,9.676.566.000,8.384.382.000,5.295.721.000,3.088.661.000,9.579.447.123,12.668.108.123,Novo Mercado,"30,82%",Utilidade Pública,Energia Elétrica,Energia Elétrica,44.538,647,464,43.427,-,
avll3,"2,80","2,42","6,35",-,"-55,91%",ON,"0,000",0,"10,00","10,00",4,16,1,-75.358.000,,,%,,%,1.421.363.000,549.878.000,584.016.000,294.057.000,289.959.000,546.924.171,836.883.171,Novo Mercado,"21,36%",Consumo Cíclico,Construção Civil,Incorporações,266,44,4,218,-,
azev3,"1,00","0,75","2,14",-,"-53,27%",ON,"0,000",0,"5,12","5,12",24.600,31.734,2,278.841.000,"0,0000","0,0000","0,00%","0,0000","0,00%",686.918.000,154.334.000,34.968.000,1.950.000,33.018.000,196.282.880,229.300.880,,"99,44%",Bens Industriais,Construção e Engenharia,Construção Pesada,12.361,43,129,12.189,-,
azev4,"0,99","0,73","2,28",-,"-56,58%",PN,"0,000",0,"2,78","2,78",232.773,265.361,14,278.841.000,"0,0000","0,0000","0,00%","0,0000","0,00%",686.918.000,154.334.000,34.968.000,1.950.000,33.018.000,196.282.880,229.300.880,,"99,44%",Bens Industriais,Construção e Engenharia,Construção Pesada,12.361,43,129,12.189,-,
azul4,"4,18","4,04","16,57",-,"-73,73%",PN,"0,067",380,"0,93","0,93",2.019.693,28.518.065,454,-26.166.566.000,,,%,,%,22.831.219.000,4.954.503.000,30.508.584.000,1.475.512.000,29.033.072.000,1.455.212.647,30.488.284.647,Nível 2,"50,08%",Bens Industriais,Transporte,Transporte Aéreo,134.204,395,714,133.095,-,
b3sa3,"10,26","9,21","14,27","3,91","-28,10%",ON,"2,772",457,"0,05","0,05",7.252.098,87.170.218,543,19.145.192.000,"0,3180","0,3011","5,32%","0,0000","5,32%",46.068.083.000,16.434.207.000,12.878.346.000,14.873.101.000,-1.994.755.000,55.675.890.000,53.681.135.000,Novo Mercado,"99,37%",Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,359.216,1.528,2.933,354.755,-,
bahi3,"4,51","4,20","9,39",-,"-42,62%",ON,"0,000",0,"5,40","5,40",100,824,1,93.107.000,"0,0000","0,0000","0,00%","0,0000","0,00%",547.054.000,35.000.000,113.649.000,10.785.000,102.864.000,119.021.525,221.885.525,,"22,15%",Consumo Cíclico,Diversos,Serviços Educacionais,1.136,34,43,1.059,-,
balm3,"13,00","9,90","16,20",-,"18,18%",ON,"0,000",0,"2,00","2,00",24,405,1,157.918.000,"0,2159","0,0000","100,00%","0,0000","100,00%",263.441.000,188.625.000,18.290.000,64.465.000,-46.175.000,117.110.000,70.935.000,,"35,56%",Saúde,Equipamentos,Equipamentos,1.102,0,17,1.085,-,
balm4,"10,90","9,70","11,52",-,"0,46%",PN,"0,000",0,"2,00","2,00",5,0,1,157.918.000,"0,2159","0,0000","100,00%","0,0000","100,00%",263.441.000,188.625.000,18.290.000,64.465.000,-46.175.000,117.110.000,70.935.000,,"35,56%",Saúde,Equipamentos,Equipamentos,1.102,0,17,1.085,-,
bauh4,"78,79","74,23","81,05",-,"6,14%",PN,"0,000",0,"5,00","5,00",100,0,1,113.812.000,"1,2093","0,0000","100,00%","0,0000","100,00%",173.093.000,77.424.000,836.000,34.609.000,-33.773.000,-,-,,"28,89%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,280,4,8,268,-,
baza3,"84,73","82,81","103,00","7,82","1,90%",ON,"0,000",0,"5,00","5,00",38,3.761,2,6.461.355.000,"5,3298","6,6252","24,30%","0,0000","24,30%",51.049.087.000,2.014.038.000,-,2.014.038.000,-,4.749.821.030,4.749.821.030,,"2,99%",Financeiro e Outros,Intermediários Financeiros,Bancos,15.506,3,539,14.964,-,
bbas3,"24,57","24,41","28,48","10,63","-3,00%",ON,"3,429",663,"0,19","0,19",1.614.653,90.372.128,318,178.886.881.000,"2,2877","2,6129","14,21%","0,0000","14,21%",2.330.349.036.000,85.770.646.000,-,85.770.646.000,-,140.806.592.363,140.806.592.363,Novo Mercado,"49,60%",Financeiro e Outros,Intermediários Financeiros,Bancos,870.412,1.438,15.061,853.913,-,
bbdc3,"11,05","10,75","14,47","12,42","-22,29%",ON,"0,808",143,"0,09","0,09",1.580.939,20.251.829,80,167.127.865.000,"0,9164","0,7457","18,62%","0,2070","3,97%",2.017.703.133.000,212.869.406.000,-,212.869.406.000,-,123.173.439.844,123.173.439.844,Nível 1,"62,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,834.463,1.223,35.088,798.152,-,
bbdc4,"12,10","12,04","16,26","12,47","-24,98%",PN,"3,055",573,"0,02","0,02",3.298.942,47.372.807,225,167.127.865.000,"1,0080","0,8203","18,62%","0,2277","3,97%",2.017.703.133.000,212.869.406.000,-,212.869.406.000,-,123.173.439.844,123.173.439.844,Nível 1,"62,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,834.463,1.223,35.088,798.152,-,
bbml3,"3.936,42",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,-22.632.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.134.298.000,382.911.000,458.574.000,3.452.000,455.122.000,160.451.699.192,160.906.821.192,,--%,Bens Industriais,Serviços,Serviços Diversos,3,1,0,2,-,
bbrk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbse3,"36,67","30,16","37,42","7,23","21,58%",ON,"1,149",278,"0,09","0,09",1.275.676,41.727.362,203,12.251.901.000,"3,4862","2,6522","23,92%","0,0000","23,92%",19.213.887.000,7.454.252.000,-,6.186.125.000,-,73.340.000.000,73.340.000.000,Novo Mercado,"31,87%",Financeiro e Outros,Previdência e Seguros,Seguradoras,355.412,1.310,2.572,351.530,-,
bdll3,"12,00","12,00","13,01",-,"-7,69%",ON,"0,000",0,"2,00","2,00",1,11,1,-231.705.000,"0,0000","0,0000","0,00%","0,0000","0,00%",550.260.000,251.585.000,185.740.000,18.752.000,166.988.000,15.258.552,182.246.552,,"76,26%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.190,15,18,1.157,-,
bdll4,"8,03","7,00","11,80",-,"-3,25%",PN,"0,000",0,"4,00","4,00",8,74,1,-231.705.000,"0,0000","0,0000","0,00%","0,0000","0,00%",550.260.000,251.585.000,185.740.000,18.752.000,166.988.000,15.258.552,182.246.552,,"76,26%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.190,15,18,1.157,-,
beef11,"3,62",-,-,-,-%,ON,"0,000",110,"0,00","0,00",0,0,0,744.206.000,,,%,,%,35.971.356.000,24.548.406.000,25.686.465.000,16.817.833.000,8.868.632.000,3.479.733.922,12.348.365.922,Novo Mercado,"43,04%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,64.663,649,325,63.689,-,
beef3,"5,73","5,38","7,95",-,"-22,57%",ON,"0,074",255,"0,10","0,10",9.135.291,61.297.803,811,744.206.000,"0,5509","0,0000","100,00%","0,0000","100,00%",35.971.356.000,24.548.406.000,25.686.465.000,16.817.833.000,8.868.632.000,3.479.733.922,12.348.365.922,Novo Mercado,"43,04%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,64.663,649,325,63.689,-,
bees3,"8,15","8,09","9,30","8,42","-3,21%",ON,"0,000",0,"5,00","5,00",279,2.411,2,2.274.873.000,"0,6119","0,6638","8,47%","0,0000","8,47%",37.477.609.000,9.533.290.000,-,9.533.290.000,-,2.597.614.661,2.597.614.661,,"4,59%",Financeiro e Outros,Intermediários Financeiros,Bancos,39.941,8,57,39.876,-,
bees4,"8,42","8,35","10,16","5,97","-5,82%",PN,"0,000",0,"5,00","5,00",99,978,1,2.274.873.000,"0,6119","0,4802","21,53%","0,0000","21,53%",37.477.609.000,9.533.290.000,-,9.533.290.000,-,2.597.614.661,2.597.614.661,,"4,59%",Financeiro e Outros,Intermediários Financeiros,Bancos,39.941,8,57,39.876,-,
bfre11,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,222.138.000,,,%,,%,253.415.000,15.000,-,15.000,-,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1,0,1,0,-,
bfre12,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,222.138.000,,,%,,%,253.415.000,15.000,-,15.000,-,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1,0,1,0,-,
bgip3,"24,51","22,57","31,40","8,95","-0,20%",ON,"0,000",0,"5,00","5,00",1,29,1,714.729.000,"2,2431","2,1937","2,20%","0,0000","2,20%",10.131.331.000,4.981.031.000,-,2.301.414.000,-,451.075.377,451.075.377,,"8,54%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.381,11,333,3.037,-,
bgip4,"24,10","20,25","27,74","10,01","18,72%",PN,"0,000",0,"10,00","10,00",42,0,5,714.729.000,"2,4674","2,4131","2,20%","0,0000","2,20%",10.131.331.000,4.981.031.000,-,2.301.414.000,-,451.075.377,451.075.377,,"8,54%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.381,11,333,3.037,-,
bidi11,"10,40",-,-,-,-%,,"0,000",0,"34,07","34,07",2.460.925,0,133,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,1 ON (BIDI3)
bidi3,"3,40",-,-,-,-%,ON,"0,000",0,"3,20","3,20",4.100,0,3,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,
bidi4,"3,41",-,-,-,-%,PN,"0,000",0,"65,46","65,46",13.001,0,16,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,
biom3,"7,89","5,10","20,19",-,"28,29%",ON,"0,000",0,"5,95","5,95",1.061,9.814,2,304.663.000,"0,0000","0,0000","0,00%","0,0000","0,00%",504.137.000,286.499.000,133.104.000,186.853.000,-53.749.000,1.000.779.285,947.030.285,,"68,74%",Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,2.289,0,109,2.180,-,
bkbr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blau3,"13,55","9,23","17,40","2,69","-15,37%",ON,"0,000",9,"5,90","5,90",84.913,1.037.637,25,2.097.206.000,"0,4223","0,3643","13,73%","0,0000","13,73%",3.241.494.000,1.585.906.000,549.514.000,431.948.000,117.566.000,2.430.787.873,2.548.353.873,Novo Mercado,"16,55%",Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,9.441,265,54,9.122,-,
blut3,"5,14",-,-,-,-%,ON,"0,000",0,"2,00","2,00",25,0,1,56.569.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.948.000,66.000,6.748.000,0,6.748.000,14.115.600,20.863.600,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,6.710,12,55,6.643,-,
blut4,"1,52",-,-,-,-%,PN,"0,000",0,"5,00","5,00",77,0,1,56.569.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.948.000,66.000,6.748.000,0,6.748.000,14.115.600,20.863.600,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,6.710,12,55,6.643,-,
bmeb3,"33,02","15,99","39,99","5,12","106,50%",ON,"0,000",0,"5,00","5,00",32,0,2,1.923.002.000,"0,6872","0,9408","36,90%","0,0000","36,90%",24.054.292.000,3.942.653.000,-,3.942.653.000,-,3.625.399.974,3.625.399.974,Nível 1,"46,32%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.766,22,587,3.157,-,
bmeb4,"37,15","14,41","43,87","5,01","157,09%",PN,"0,000",0,"56,47","56,47",177,4.252,3,1.923.002.000,"0,7560","1,0349","36,90%","0,0000","36,90%",24.054.292.000,3.942.653.000,-,3.942.653.000,-,3.625.399.974,3.625.399.974,Nível 1,"46,32%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.766,22,587,3.157,-,
bmgb4,"3,91","2,72","4,43","18,05","40,14%",PN,"0,000",47,"0,24","0,24",19.289,67.512,12,4.466.091.000,"0,0400","0,3700","825,00%","0,0000","825,00%",45.062.141.000,0,0,143.920.000,-143.920.000,2.280.438.727,2.136.518.727,Nível 1,"27,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,61.572,39,278,61.255,-,
