Ticker,Empresa,Razão Social,Situação Registro,Situação Emissor,Segmento de Listagem,Atividade,Ação,Data da Cotação,Tipo de Ação,Último Preço de Fechamento,Fator de Cotação,Volume Financeiro Transacionado,Último Demonstrativo Financeiro,Setor,Subsetor,Segmento,Participação em Índices,Preço/Lucro,Preço/VPA,Preço/Receita Líquida,Preço/FCO,Preço/FCF,Preço/Ativo Total,Preço/EBIT,Preço/Capital Giro,Preço/NCAV,EV/EBIT,EV/EBITDA,EV/Receita Líquida,EV/FCO,EV/FCF,EV/Ativo Total,Market Cap Empresa,Enterprise Value,Data Demonstração Financeira Atual,Preço Atual da Ação,Data do Preço da Ação,Dividend Yield,Receita Líquida,Resultado Bruto,EBIT,Depreciação e Amortização,EBITDA,Lucro Líquido,Lucro/Ação,Menor Preço 52 semanas,Maior Preço 52 semanas,Variação 2024,Variação 1 ano,Variação 2 anos(total),Variação 2 anos(anual),Variação 3 anos(total),Variação 3 anos(anual),Variação 4 anos(total),Variação 4 anos(anual),Variação 5 anos(total),Variação 5 anos(anual),Volume Diário Médio (3 meses),Retorno s/ Capital Tangível Inicial,Retorno s/ Capital Investido Inicial,Retorno s/ Capital Tangível Inicial Pré-Impostos,Retorno s/ Capital Investido Inicial Pré-Impostos,Retorno s/ Patrimônio Líquido Inicial,Retorno s/ Ativo Inicial,Margem Bruta,Margem Líquida,Margem EBIT,Margem EBITDA,Giro do Ativo Inicial,Alavancagem Financeira,Passivo/Patrimônio Líquido,Dívida Líquida/EBITDA,Caixa e Equivalentes de Caixa,Ativo Total,Dívida de Curto Prazo,Dívida de Longo Prazo,Dívida Bruta,Dívida Líquida,Patrimônio Líquido,Valor Patrimonial da Ação,Ações Ordinárias,Ações Preferenciais,Total,Ações Ordinárias em Tesouraria,Ações Preferenciais em Tesouraria,Total em Tesouraria,Ações Ordinárias (Exceto Tesouraria),Ações Preferenciais (Exceto Tesouraria),Total (Exceto Tesouraria),Fluxo de Caixa Operacional,Fluxo de Caixa de Investimentos,Fluxo de Caixa de Financiamentos,Aumento (Redução) de Caixa e Equivalentes,CAPEX 3 meses,Fluxo de Caixa Livre 3 meses,CAPEX 12 meses,Fluxo de Caixa Livre 12 meses,Receita de Intermediação Financeira,Resultado Bruto de Intermediação Financeira,Receita de Prestação de Serviços,Não existem dados para este código de negociação,Dados existentes para códigos de negociação abaixo:,Sem dados para mostrar,Ordinária,Preferencial,Unit
BPAR3,BANPARA,BCO ESTADO DO PARA S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,O Banpará. pessoa jurídica de direito privado. constituída como S.A. aberta. de economia mista. estruturada como banco múltiplo. Atua na execução de políticas públicas de fomento à economia do Estado.,BPAR3,21/02/2019,ON,"R$ 182,07",1 Ação,"R$ 18,21 mil",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,-,"4,74","0,85","0,51","6,51",,"0,09",,,,,,,,,,"R$ 1,73 B",,30/06/2024,"R$ 182,07",21/02/2019,"6,83%",,,,,,"R$ 124,66 M",,"R$ 0,00","R$ 0,00",-,-,-,-,-,-,-,-,-,-,"R$ 0,00",,,,,"20,24%","2,36%","51,73%","10,66%",,,"0,22","8,90","7,90",,,"R$ 18,25 B",,,,,"R$ 2,05 B","R$ 215,43",9.521.649,0,9.521.649,0,0,0,9.521.649,0,9.521.649,"- R$ 63,63 M","- R$ 22,57 M","- R$ 31,62 M","- R$ 120,52 M","R$ 5,00 mil",,"- R$ 2,08 M",,"R$ 838,91 M","R$ 481,84 M","R$ 56,75 M",,,,,,
BRAP3,BRADESPAR,BRADESPAR S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Participação como sócia ou acionista de outras Sociedades.,BRAP3,14/10/2024,ON,"R$ 18,01",1 Ação,"R$ 876,67 mil",ITR - 30/06/2024,Materiais Básicos,Mineração,Minerais Metálicos,"IGC, ITAG","3,86","0,84","0,00","6,37","6,38","0,83","4,00","29,44","38,52","4,04","4,04","0,00","6,44","6,45","0,84","R$ 7,45 B","R$ 7,15 B",30/06/2024,"R$ 18,01",14/10/2024,"14,99%","R$ 0,00","R$ 0,00","R$ 518,42 M","R$ 0,00","R$ 518,42 M","R$ 535,46 M","R$ 1,36","R$ 17,11","R$ 22,27","-18,49%","0,60%","-0,71%","-0,36%","-46,72%","-18,92%","-20,42%","-5,55%","20,70%","3,83%","R$ 2,35 M","15,94%","15,94%","24,15%","24,15%","24,15%","23,97%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,17","R$ 294,73 M","R$ 8,51 B","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 294,73 M","R$ 8,45 B","R$ 21,50",137.990.000,255.107.000,393.097.000,0,0,0,137.990.000,255.107.000,393.097.000,"R$ 32,33 M","R$ 0,00","- R$ 448,48 M","- R$ 416,15 M","R$ 0,00","R$ 32,33 M","- R$ 1,10 M","R$ 1,11 B",,,,,,,,,
BRAP4,BRADESPAR,BRADESPAR S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Participação como sócia ou acionista de outras Sociedades.,BRAP4,14/10/2024,PN,"R$ 19,45",1 Ação,"R$ 64,54 M",ITR - 30/06/2024,Materiais Básicos,Mineração,Minerais Metálicos,"IBOVESPA, IBRA, IBRX, IDIV, IGC, IGCT, IMAT, ITAG, SMLL","4,17","0,90","0,00","6,88","6,89","0,90","4,32","31,79","41,60","4,04","4,04","0,00","6,44","6,45","0,84","R$ 7,45 B","R$ 7,15 B",30/06/2024,"R$ 19,45",14/10/2024,"15,27%","R$ 0,00","R$ 0,00","R$ 518,42 M","R$ 0,00","R$ 518,42 M","R$ 535,46 M","R$ 1,36","R$ 17,83","R$ 24,26","-19,05%","0,86%","2,00%","0,99%","-45,63%","-18,37%","-22,55%","-6,19%","17,59%","3,29%","R$ 60,71 M","15,94%","15,94%","24,15%","24,15%","24,15%","23,97%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,17","R$ 294,73 M","R$ 8,51 B","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 294,73 M","R$ 8,45 B","R$ 21,50",137.990.000,255.107.000,393.097.000,0,0,0,137.990.000,255.107.000,393.097.000,"R$ 32,33 M","R$ 0,00","- R$ 448,48 M","- R$ 416,15 M","R$ 0,00","R$ 32,33 M","- R$ 1,10 M","R$ 1,11 B",,,,,,,,,
BRAV3,BRAVA,3R PETROLEUM ÓLEO E GÁS S.A,ATIVO,FASE OPERACIONAL,Novo Mercado,Exploração. produção. refino e comercialização de petróleo. gás natural e derivados. incluindo. tratamento. processamento. estocagem. liquefação e regaseificação de gás natural.,BRAV3,14/10/2024,ON,"R$ 17,28",1 Ação,"R$ 63,14 M",ITR - 30/06/2024,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,-,"-28,17","1,62","0,91","3,76","9,99","0,37","3,64","7,24","-0,51","7,98","5,65","2,00","8,24","21,91","0,81","R$ 8,02 B","R$ 17,60 B",30/06/2024,"R$ 17,28",14/10/2024,"2,23%","R$ 2,58 B","R$ 731,98 M","R$ 579,89 M","- R$ 262,70 M","R$ 842,59 M","- R$ 364,65 M","- R$ 1,52","R$ 17,01","R$ 22,53","-21,28%",-,-,-,-,-,-,-,-,-,"R$ 67,48 M","16,34%","11,57%","24,76%","17,54%","-5,42%","-1,52%","30,69%","-3,24%","25,07%","35,41%","0,47","4,40","3,40","3,08","R$ 1,53 B","R$ 21,74 B","R$ 309,89 M","R$ 10,80 B","R$ 11,11 B","R$ 9,58 B","R$ 4,94 B","R$ 20,56",240.429.043,0,240.429.043,0,0,0,240.429.043,0,240.429.043,"R$ 958,14 M","- R$ 745,49 M","R$ 284,48 M","R$ 513,48 M","- R$ 422,62 M","R$ 535,52 M","- R$ 1,33 B","R$ 803,27 M",,,,,,,,,
BRBI11,BR PARTNERS,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,Participação em outras sociedades. nacionais ou estrangeiras. na qualidade de sócia. acionista ou quotista. e a administração de bens próprios.,BRBI11,14/10/2024,UNT,"R$ 14,96",1 Ação,"R$ 9,72 M",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,IGC,"8,50","1,86","4,99","2,26","2,27","0,12","58,31","2,07","-0,14",NA,NA,NA,NA,NA,NA,NA,NA,30/06/2024,"R$ 14,96",14/10/2024,"9,22%","R$ 92,70 M","R$ 92,70 M","R$ 8,95 M","- R$ 2,13 M","R$ 11,07 M","R$ 51,97 M","R$ 0,16","R$ 10,00","R$ 16,13","5,36%","32,62%","21,81%","10,35%","-5,78%","-1,96%",-,-,-,-,"R$ 4,05 M","0,20%","0,20%","0,31%","0,31%","22,89%","1,90%","100,00%","58,68%","8,56%","11,23%","0,03","15,24","14,24","297,75","R$ 945,86 M","R$ 12,89 B","R$ 11,47 B","R$ 0,00","R$ 11,47 B","R$ 10,52 B","R$ 845,75 M","R$ 2,69",200.546.184,114.440.928,314.987.112,0,0,0,200.546.184,114.440.928,314.987.112,"R$ 769,78 M","- R$ 1,95 M","- R$ 48,92 M","R$ 718,49 M","R$ 248,00 mil","R$ 770,03 M","- R$ 1,37 M","R$ 692,63 M",,,,,,,,,
BRFS3,BRF SA,BRF S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Holding Operacional,BRFS3,14/10/2024,ON,"R$ 22,96",1 Ação,"R$ 62,38 M",ITR - 30/06/2024,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,"AGFS, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, IGC, IGCT, IGNM, INDX, ISE, ITAG, IVBX, MLCX","20,80","2,45","0,68","5,69","6,15","0,63","8,92","4,28","-1,04","11,42","6,42","0,88","7,29","7,88","0,80","R$ 38,63 B","R$ 49,49 B",30/06/2024,"R$ 22,96",14/10/2024,"0,00%","R$ 14,93 B","R$ 3,93 B","R$ 1,70 B","- R$ 866,06 M","R$ 2,57 B","R$ 987,75 M","R$ 0,59","R$ 10,05","R$ 26,23","73,28%","111,61%","65,90%","28,76%","-10,63%","-3,67%","23,24%","5,36%","-36,89%","-8,79%","R$ 150,77 M","11,84%","11,22%","17,94%","17,00%","20,29%","3,42%","22,69%","3,28%","7,66%","13,63%","1,04","3,92","2,92","1,41","R$ 11,46 B","R$ 61,79 B","R$ 2,16 B","R$ 20,16 B","R$ 22,32 B","R$ 10,86 B","R$ 15,75 B","R$ 9,36",1.682.473.246,0,1.682.473.246,23.925.871,0,23.925.871,1.658.547.375,0,1.658.547.375,"R$ 2,27 B","- R$ 1,38 B","R$ 451,03 M","R$ 1,89 B","- R$ 109,21 M","R$ 2,16 B","- R$ 508,56 M","R$ 6,28 B",,,,,,,,,
BRIT3,BRISANET,BRISANET PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Participação em sociedades cujas atividades estejam relacionadas a serviços de telecomunicações e tecnologia,BRIT3,14/10/2024,ON,"R$ 3,08",1 Ação,"R$ 838,53 mil",ITR - 30/06/2024,Comunicações,Telecomunicações,Telecomunicações,"IGC, IGNM, ITAG","10,50","0,90","1,05","2,22","11,38","0,42","6,46","12,34","-0,84","11,70","4,32","1,90","4,02","20,59","0,76","R$ 1,38 B","R$ 2,50 B",30/06/2024,"R$ 3,08",14/10/2024,"2,83%","R$ 346,45 M","R$ 140,06 M","R$ 46,07 M","- R$ 99,51 M","R$ 145,58 M","R$ 17,29 M","R$ 0,04","R$ 2,78","R$ 4,75","-11,22%","-1,51%","-8,86%","-4,53%","-65,02%","-29,52%",-,-,-,-,"R$ 1,76 M","5,81%","5,75%","8,80%","8,71%","9,10%","4,35%","43,53%","10,01%","16,25%","43,99%","0,43","2,14","1,14","1,93","R$ 152,43 M","R$ 3,30 B","R$ 231,82 M","R$ 1,04 B","R$ 1,27 B","R$ 1,12 B","R$ 1,54 B","R$ 3,43",449.094.916,0,449.094.916,3.350.000,0,3.350.000,445.744.916,0,445.744.916,"R$ 200,75 M","- R$ 149,29 M","- R$ 68,08 M","- R$ 16,62 M","- R$ 164,78 M","R$ 35,97 M","- R$ 500,48 M","R$ 121,56 M",,,,,,,,,
BRKM3,BRASKEM,BRASKEM S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Produção de produtos químicos. utilidades. energia elétrica e outros;prestação de serviços industriais;participação em outras sociedades;locação de bens; representação/consignação de produtos químicos,BRKM3,14/10/2024,ON,"R$ 18,27",1 Ação,"R$ 444,02 mil",ITR - 30/06/2024,Materiais Básicos,Químicos,Petroquímicos,"IGC, ITAG","-1,61","171,35","0,21","15,20","-4,42","0,15","-7,89","1,62","-0,17","-25,44","14,05","0,67","49,03","-14,25","0,48","R$ 14,76 B","R$ 46,97 B",30/06/2024,"R$ 18,27",14/10/2024,"0,00%","R$ 19,08 B","R$ 1,39 B","- R$ 157,00 M","- R$ 1,29 B","R$ 1,13 B","- R$ 3,74 B","- R$ 4,69","R$ 15,69","R$ 26,66","-14,63%","-9,33%","-46,77%","-27,01%","-61,10%","-26,98%","0,48%","0,12%","-28,53%","-6,49%","R$ 319,16 mil","-2,41%","-3,86%","-3,66%","-5,86%","-125,45%","-10,31%","5,94%","-12,89%","-2,62%","4,75%","0,80","1.141,89","1.140,89","9,64","R$ 14,21 B","R$ 97,06 B","R$ 2,05 B","R$ 44,38 B","R$ 46,43 B","R$ 32,21 B","R$ 85,00 M","R$ 0,11",451.668.652,345.539.182,797.207.834,0,27,27,451.668.652,345.539.155,797.207.807,"R$ 1,44 B","- R$ 968,00 M","- R$ 1,02 B","- R$ 2,00 M","- R$ 1,83 B","- R$ 390,00 M","- R$ 4,26 B","- R$ 3,30 B",,,,,,,,,
BRKM5,BRASKEM,BRASKEM S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Produção de produtos químicos. utilidades. energia elétrica e outros;prestação de serviços industriais;participação em outras sociedades;locação de bens; representação/consignação de produtos químicos,BRKM5,14/10/2024,PNA,"R$ 18,82",1 Ação,"R$ 27,14 M",ITR - 30/06/2024,Materiais Básicos,Químicos,Petroquímicos,"IBOVESPA, IBRA, IBRX, ICO2, IGC, IGCT, IMAT, INDX, ITAG, IVBX, SMLL","-1,65","176,51","0,21","15,66","-4,55","0,15","-8,13","1,67","-0,17","-25,44","14,05","0,67","49,03","-14,25","0,48","R$ 14,76 B","R$ 46,97 B",30/06/2024,"R$ 18,82",14/10/2024,"0,00%","R$ 19,08 B","R$ 1,39 B","- R$ 157,00 M","- R$ 1,29 B","R$ 1,13 B","- R$ 3,74 B","- R$ 4,69","R$ 16,00","R$ 27,42","-10,81%","-1,00%","-47,55%","-27,54%","-61,69%","-27,35%","3,14%","0,77%","-24,57%","-5,48%","R$ 52,79 M","-2,41%","-3,86%","-3,66%","-5,86%","-125,45%","-10,31%","5,94%","-12,89%","-2,62%","4,75%","0,80","1.141,89","1.140,89","9,64","R$ 14,21 B","R$ 97,06 B","R$ 2,05 B","R$ 44,38 B","R$ 46,43 B","R$ 32,21 B","R$ 85,00 M","R$ 0,11",451.668.652,345.539.182,797.207.834,0,27,27,451.668.652,345.539.155,797.207.807,"R$ 1,44 B","- R$ 968,00 M","- R$ 1,02 B","- R$ 2,00 M","- R$ 1,83 B","- R$ 390,00 M","- R$ 4,26 B","- R$ 3,30 B",,,,,,,,,
BRKM6,BRASKEM,BRASKEM S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Produção de produtos químicos. utilidades. energia elétrica e outros;prestação de serviços industriais;participação em outras sociedades;locação de bens; representação/consignação de produtos químicos,BRKM6,11/10/2024,PNB,"R$ 13,00",1 Ação,"R$ 3,90 mil",ITR - 30/06/2024,Materiais Básicos,Químicos,Petroquímicos,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 13,00","R$ 16,00","-13,28%","-18,75%","-55,93%","-33,69%","-64,21%","-28,82%","-30,15%","-8,51%","-47,04%","-11,91%","R$ 2,79 mil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRKM3,BRKM5,
BRQB3,BRQ,BRQ SOLUCOES EM INFORMATICA S.A.,ATIVO,FASE OPERACIONAL,Bovespa Mais,Prestação de Serviços de Transformação Digital com propósito de acelerar negócios através da inteligência e tecnologia da informação (TI),BRQB3,NA,ON,NA,NA,NA,ITR - 30/06/2024,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,-,"0,00","0,00","0,00","0,00",NA,"0,00","0,00","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,30/06/2024,"R$ 0,00",//0,"0,00%","R$ 144,60 M","R$ 52,08 M","R$ 25,74 M","- R$ 3,08 M","R$ 28,82 M","R$ 17,54 M","R$ 0,13",,,,,,,,,,,,,,"34,76%","31,89%","52,66%","48,33%","36,78%","18,75%","35,91%","11,25%","16,32%","18,46%","1,67","1,69","0,69","-0,09","R$ 22,88 M","R$ 372,26 M","R$ 12,49 M","R$ 196,00 mil","R$ 12,69 M","- R$ 10,19 M","R$ 220,67 M","R$ 1,66",133.186.083,0,133.186.083,1.120.216,0,1.120.216,132.065.867,0,132.065.867,"R$ 35,52 M","- R$ 4,83 M","- R$ 23,66 M","R$ 10,57 M",NA,NA,NA,NA,,,,,,,,,
BRSR3,BANRISUL,BCO ESTADO DO RIO GRANDE DO SUL S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Banco Múltiplo atuante nas carteiras comercial. crédito. financiamento e investimento. crédito imobiliário. desenvolvimento e arrendamento mercantil e de investimentos.,BRSR3,14/10/2024,ON,"R$ 13,35",1 Ação,"R$ 247,75 mil",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,"IGC, ITAG","5,64","0,53","0,30","0,28",,"0,04",,,,,,,,,,"R$ 5,04 B",,30/06/2024,"R$ 13,35",14/10/2024,"4,12%",,,,,,"R$ 245,20 M",,"R$ 10,83","R$ 14,57","2,89%","15,81%","18,75%","8,96%","27,22%","8,35%","25,20%","5,77%","-19,09%","-4,14%","R$ 116,47 mil",,,,,"10,13%","0,82%","28,34%","5,34%",,,"0,15","13,41","12,41",,,"R$ 137,93 B",,,,,"R$ 10,29 B","R$ 25,16",205.065.000,203.909.000,408.974.000,0,0,0,205.065.000,203.909.000,408.974.000,"R$ 9,60 B","- R$ 7,11 B","- R$ 124,89 M","R$ 2,37 B","- R$ 48,68 M",,"- R$ 147,46 M",,"R$ 4,10 B","R$ 1,41 B","R$ 610,15 M",,,,,,
BRSR5,BANRISUL,BCO ESTADO DO RIO GRANDE DO SUL S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Banco Múltiplo atuante nas carteiras comercial. crédito. financiamento e investimento. crédito imobiliário. desenvolvimento e arrendamento mercantil e de investimentos.,BRSR5,11/10/2024,PNA,"R$ 17,30",1 Ação,"R$ 1,73 mil",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14,09","R$ 19,88","6,96%","-5,15%","11,61%","5,66%","14,18%","4,52%","16,70%","3,94%","-3,99%","-0,81%","R$ 1,14 mil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRSR3,BRSR6,
BRSR6,BANRISUL,BCO ESTADO DO RIO GRANDE DO SUL S.A.,ATIVO,FASE OPERACIONAL,Nível 1 de Governança Corporativa,Banco Múltiplo atuante nas carteiras comercial. crédito. financiamento e investimento. crédito imobiliário. desenvolvimento e arrendamento mercantil e de investimentos.,BRSR6,14/10/2024,PNB,"R$ 11,28",1 Ação,"R$ 11,81 M",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,"IBRA, IDIV, IFNC, IGC, IGCT, ITAG, SMLL","4,77","0,45","0,25","0,24",,"0,03",,,,,,,,,,"R$ 5,04 B",,30/06/2024,"R$ 11,28",14/10/2024,"9,91%",,,,,,"R$ 245,20 M",,"R$ 10,17","R$ 14,94","-8,14%","2,75%","11,35%","5,52%","18,76%","5,89%","24,52%","5,63%","-27,52%","-6,23%","R$ 13,69 M",,,,,"10,13%","0,82%","28,34%","5,34%",,,"0,15","13,41","12,41",,,"R$ 137,93 B",,,,,"R$ 10,29 B","R$ 25,16",205.065.000,203.909.000,408.974.000,0,0,0,205.065.000,203.909.000,408.974.000,"R$ 9,60 B","- R$ 7,11 B","- R$ 124,89 M","R$ 2,37 B","- R$ 48,68 M",,"- R$ 147,46 M",,"R$ 4,10 B","R$ 1,41 B","R$ 610,15 M",,,,,,
BSLI3,BRB BANCO,BRB BCO DE BRASILIA S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,O BRB é uma instituição financeira de economia mista. controlada pelo Governo do Distrito Federal. organizada sob a forma de banco múltiplo.,BSLI3,10/10/2024,ON,"R$ 9,23",1 Ação,"R$ 1,85 mil",ITR - 31/03/2024,Financeiro,Intermediários Financeiros,Bancos,-,"17,89","1,45","0,49","1,34",,"0,08",,,,,,,,,,"R$ 3,61 B",,31/03/2024,"R$ 9,23",10/10/2024,"0,75%",,,,,,"- R$ 42,92 M",,"R$ 9,19","R$ 14,39","-30,23%","-32,56%","-41,39%","-23,53%","-64,89%","-29,39%","-44,52%","-13,67%","187,57%","22,34%","R$ 2,99 mil",,,,,"9,46%","0,50%","28,49%","2,73%",,,"0,18","19,29","18,29",,,"R$ 48,96 B",,,,,"R$ 2,54 B","R$ 6,99",280.146.000,82.900.000,363.046.000,0,0,0,280.146.000,82.900.000,363.046.000,"- R$ 1,25 B","R$ 713,99 M","R$ 68,85 M","- R$ 468,07 M","- R$ 16,69 M",,"- R$ 160,90 M",,"R$ 1,73 B","R$ 404,52 M","R$ 68,80 M",,,,,,
BSLI4,BRB BANCO,BRB BCO DE BRASILIA S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,O BRB é uma instituição financeira de economia mista. controlada pelo Governo do Distrito Federal. organizada sob a forma de banco múltiplo.,BSLI4,14/10/2024,PN,"R$ 8,64",1 Ação,"R$ 10,35 mil",ITR - 31/03/2024,Financeiro,Intermediários Financeiros,Bancos,-,"16,74","1,35","0,46","1,26",,"0,07",,,,,,,,,,"R$ 3,61 B",,31/03/2024,"R$ 8,64",14/10/2024,"0,89%",,,,,,"- R$ 42,92 M",,"R$ 8,64","R$ 17,91","-29,21%","-25,65%","-40,37%","-22,75%","-52,94%","-22,15%","-14,34%","-3,69%","123,13%","17,39%","R$ 4,95 mil",,,,,"9,46%","0,50%","28,49%","2,73%",,,"0,18","19,29","18,29",,,"R$ 48,96 B",,,,,"R$ 2,54 B","R$ 6,99",280.146.000,82.900.000,363.046.000,0,0,0,280.146.000,82.900.000,363.046.000,"- R$ 1,25 B","R$ 713,99 M","R$ 68,85 M","- R$ 468,07 M","- R$ 16,69 M",,"- R$ 160,90 M",,"R$ 1,73 B","R$ 404,52 M","R$ 68,80 M",,,,,,
CALI11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALI3,CONST A LIND,CONSTRUTORA ADOLPHO LINDENBERG S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,,CALI3,31/07/2024,ON,"R$ 26,00",1 Ação,"R$ 2,60 mil",ITR - 30/06/2024,Consumo Cíclico,Construção Civil,Incorporações,-,"363,70","3,41","1,51","-1.124,94","-299,52","0,43","10,19","3,94","-0,57","14,51","13,02","2,15","-1.601,65","-426,45","0,62","R$ 96,75 M","R$ 137,74 M",30/06/2024,"R$ 26,00",31/07/2024,"2,38%","R$ 16,85 M","R$ 6,28 M","R$ 7,01 M","- R$ 331,00 mil","R$ 7,34 M","R$ 4,04 M","R$ 1,09","R$ 15,17","R$ 28,38","43,52%","87,08%","204,80%","84,53%",-,-,-,-,-,-,"R$ 80,00","3,67%","7,83%","5,56%","11,86%","0,88%","0,13%","36,35%","0,41%","14,78%","16,48%","0,31","7,85","6,85","3,87","R$ 6,66 M","R$ 222,49 M","R$ 12,69 M","R$ 34,96 M","R$ 47,65 M","R$ 41,00 M","R$ 28,35 M","R$ 7,62",3.720.971,0,3.720.971,0,0,0,3.720.971,0,3.720.971,"- R$ 4,90 M","R$ 11,19 M","- R$ 6,67 M","- R$ 378,00 mil","R$ 76,00 mil","- R$ 4,83 M","- R$ 237,00 mil","- R$ 323,00 mil",,,,,,,,,
CAMB3,CAMBUCI,CAMBUCI S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,,CAMB3,14/10/2024,ON,"R$ 12,50",1 Ação,"R$ 243,86 mil",ITR - 30/06/2024,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,-,"6,96","1,94","1,17","4,11","4,92","1,38","5,42","4,91","-159,60","5,45","4,83","1,18","4,13","4,95","1,38","R$ 528,44 M","R$ 531,13 M",30/06/2024,"R$ 12,50",14/10/2024,"3,70%","R$ 112,88 M","R$ 56,23 M","R$ 27,25 M","- R$ 3,36 M","R$ 30,61 M","R$ 25,41 M","R$ 0,60","R$ 8,27","R$ 12,68","29,14%","48,73%","114,94%","46,53%","208,36%","45,50%","179,26%","29,25%",-,-,"R$ 454,85 mil","21,52%","24,06%","32,61%","36,46%","37,38%","20,24%","48,56%","16,84%","21,64%","24,41%","1,20","1,41","0,41","0,02","R$ 1,05 M","R$ 383,80 M","R$ 1,13 M","R$ 2,61 M","R$ 3,73 M","R$ 2,69 M","R$ 272,94 M","R$ 6,46",42.275.080,0,42.275.080,336.007,0,336.007,41.939.073,0,41.939.073,"R$ 26,21 M","- R$ 13,53 M","- R$ 12,20 M","R$ 326,00 mil","- R$ 12,92 M","R$ 13,29 M","- R$ 21,20 M","R$ 107,34 M",,,,,,,,,
CAML3,CAMIL,CAMIL ALIMENTOS S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Industrialização e comercialização de grãos. pescados. açúcar. massas. biscoitos e café.,CAML3,14/10/2024,ON,"R$ 8,21",1 Ação,"R$ 7,22 M",ITR - 31/08/2024,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,"AGFS, IBRA, ICON, IGC, IGCT, IGNM, INDX, ISE, ITAG, SMLL","6,43","0,84","0,24","222,58","-10,20","0,24","3,67","0,71","-0,62","8,64","6,47","0,57","523,46","-23,99","0,56","R$ 2,87 B","R$ 6,76 B",31/08/2024,"R$ 8,21",14/10/2024,"3,57%","R$ 3,26 B","R$ 698,26 M","R$ 221,43 M","- R$ 66,13 M","R$ 287,56 M","R$ 118,75 M","R$ 0,34","R$ 6,61","R$ 10,01","6,65%","11,47%","-5,34%","-2,70%","-9,82%","-3,38%","-31,38%","-8,98%","53,95%","9,00%","R$ 4,71 M","9,09%","8,34%","13,78%","12,63%","15,15%","4,24%","20,91%","3,77%","6,61%","8,82%","1,12","3,51","2,51","3,72","R$ 2,65 B","R$ 12,08 B","R$ 2,09 B","R$ 4,44 B","R$ 6,53 B","R$ 3,88 B","R$ 3,44 B","R$ 9,83",350.000.000,0,350.000.000,8.928.768,0,8.928.768,341.071.232,0,341.071.232,"- R$ 178,69 M","- R$ 100,42 M","R$ 926,07 M","R$ 621,02 M","- R$ 65,98 M","- R$ 244,67 M","- R$ 294,64 M","- R$ 281,73 M",,,,,,,,,
